iter	Passed	Remaining
0	1	469
1	3	487
2	4	488
3	6	473
4	7	465
5	9	453
6	10	444
7	12	442
8	13	437
9	15	436
10	16	435
11	17	428
12	19	427
13	20	427
14	22	424
15	23	419
16	25	418
17	26	416
18	28	416
19	29	413
20	30	409
21	32	408
22	33	407
23	35	408
24	37	407
25	38	406
26	40	404
27	41	402
28	42	399
29	44	398
30	46	402
31	48	404
32	49	403
33	51	402
34	52	400
35	54	399
36	55	397
37	57	396
38	59	395
39	60	393
40	62	392
41	63	390
42	65	388
43	66	387
44	68	387
45	70	388
46	71	386
47	73	384
48	74	383
49	76	380
50	77	378
51	78	376
52	80	374
53	81	373
54	83	371
55	85	373
56	87	373
57	89	371
58	90	369
59	91	367
60	93	365
61	97	373
62	99	374
63	100	372
64	102	371
65	104	369
66	105	366
67	107	365
68	108	363
69	109	361
70	111	359
71	113	357
72	114	356
73	116	354
74	117	352
75	118	349
76	120	348
77	121	346
78	122	344
79	124	342
80	125	340
81	127	338
82	128	336
83	130	334
84	131	333
85	133	331
86	134	329
87	136	328
88	137	326
89	139	324
90	140	323
91	142	322
92	144	320
93	145	318
94	147	317
95	148	315
96	149	313
97	151	311
98	152	310
99	154	308
100	155	306
101	157	305
102	158	303
103	160	302
104	161	300
105	164	300
106	165	298
107	167	297
108	168	295
109	169	293
110	171	291
111	173	290
112	174	288
113	175	287
114	177	285
115	179	283
116	180	282
117	181	280
118	183	279
119	184	277
120	186	275
121	188	274
122	189	272
123	190	271
124	193	270
125	194	268
126	195	266
127	197	265
128	199	263
129	200	262
130	202	260
131	203	258
132	205	257
133	206	255
134	208	254
135	209	252
136	211	251
137	212	249
138	214	248
139	215	246
140	217	244
141	218	242
142	219	241
143	221	239
144	222	238
145	224	236
146	225	234
147	227	233
148	228	231
149	230	230
150	231	228
151	233	227
152	234	225
153	236	223
154	237	222
155	239	220
156	240	219
157	242	217
158	243	216
159	245	214
160	246	212
161	248	211
162	249	209
163	251	208
164	252	206
165	254	205
166	256	203
167	257	202
168	259	200
169	260	199
170	262	197
171	263	196
172	265	194
173	266	192
174	268	191
175	269	189
176	271	188
177	272	186
178	274	185
179	275	183
180	277	182
181	278	180
182	280	179
183	281	177
184	283	176
185	284	174
186	286	173
187	288	171
188	290	170
189	291	169
190	293	167
191	295	165
192	296	164
193	298	162
194	299	161
195	300	159
196	302	158
197	303	156
198	305	154
199	306	153
200	308	151
201	309	150
202	311	148
203	312	147
204	313	145
205	315	143
206	316	142
207	318	140
208	319	139
209	321	137
210	322	136
211	324	134
212	326	133
213	327	131
214	329	130
215	330	128
216	332	127
217	333	125
218	335	123
219	336	122
220	338	120
221	339	119
222	341	117
223	342	116
224	344	114
225	345	113
226	347	111
227	348	110
228	350	108
229	352	107
230	353	105
231	355	104
232	356	102
233	358	101
234	359	99
235	361	97
236	362	96
237	364	94
238	365	93
239	367	91
240	368	90
241	370	88
242	371	87
243	373	85
244	374	84
245	376	82
246	377	81
247	379	79
248	381	78
249	382	76
250	384	75
251	386	73
252	387	72
253	389	70
254	390	68
255	392	67
256	393	65
257	395	64
258	396	62
259	398	61
260	399	59
261	401	58
262	403	56
263	404	55
264	406	53
265	408	52
266	410	50
267	411	49
268	412	47
269	413	45
270	415	44
271	416	42
272	418	41
273	419	39
274	421	38
275	423	36
276	424	35
277	426	33
278	427	32
279	429	30
280	430	29
281	432	27
282	433	26
283	435	24
284	436	22
285	438	21
286	440	19
287	441	18
288	442	16
289	444	15
290	446	13
291	447	12
292	449	10
293	450	9
294	452	7
295	453	6
296	455	4
297	456	3
298	458	1
299	459	0
